Name,Price,VC,Cover Art,URL
Best of Arcade Games - Bubble Buster,9.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/best-of-arcade-games-bubble-buster-3ds/boxart,www.nintendo.com/games/detail/best-of-arcade-games-bubble-buster-3ds/
Best of Arcade Games - Tetraminos,9.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/best-of-arcade-games-tetraminos-3ds/boxart,www.nintendo.com/games/detail/best-of-arcade-games-tetraminos-3ds/
Best of Board Games - Chess,9.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/best-of-board-games-chess-3ds/boxart,www.nintendo.com/games/detail/best-of-board-games-chess-3ds/
Best of Board Games - Mahjong,9.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/best-of-board-games-mahjong-3ds/boxart,www.nintendo.com/games/detail/best-of-board-games-mahjong-3ds/
Best of Board Games - Solitaire,9.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/best-of-board-games-solitaire-3ds/boxart,www.nintendo.com/games/detail/best-of-board-games-solitaire-3ds/
Best of Casual Games,24.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/best-of-casual-games-3ds/boxart,www.nintendo.com/games/detail/best-of-casual-games-3ds/
Best of Mahjong,2.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/best-of-mahjong-3ds/boxart,www.nintendo.com/games/detail/best-of-mahjong-3ds/
Best of Solitaire,3.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/best-of-solitaire-3ds/boxart,www.nintendo.com/games/detail/best-of-solitaire-3ds/
Beyblade Evolution,19.95, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/beyblade-evolution-3ds/boxart,www.nintendo.com/games/detail/beyblade-evolution-3ds/
Big Bass Arcade: No Limit,4.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/big-bass-arcade-no-limit-3ds/boxart,www.nintendo.com/games/detail/big-bass-arcade-no-limit-3ds/
Bike Rider DX,2.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/bike-rider-dx-3ds/boxart,www.nintendo.com/games/detail/bike-rider-dx-3ds/
BIKE RIDER DX2: GALAXY,2.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/bike-rider-dx2-galaxy-3ds/boxart,www.nintendo.com/games/detail/bike-rider-dx2-galaxy-3ds/
Bingo Collection,2.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/bingo-collection-3ds/boxart,www.nintendo.com/games/detail/bingo-collection-3ds/
BIONIC COMMANDO,3.99,Game Boy,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/bionic-commando-3ds/boxart,www.nintendo.com/games/detail/bionic-commando-3ds/
Bionic Commando: Elite Forces,5.99,Game Boy Color,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/bionic-commando-elite-forces-3ds/boxart,www.nintendo.com/games/detail/bionic-commando-elite-forces-3ds/
Bird Mania 3D,0.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/bird-mania-3d-3ds/boxart,www.nintendo.com/games/detail/bird-mania-3d-3ds/
Bird Mania Christmas 3D,0.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/bird-mania-christmas-3d-3ds/boxart,www.nintendo.com/games/detail/bird-mania-christmas-3d-3ds/
Bit Boy!! ARCADE,7.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/bit-boy-arcade-3ds/boxart,www.nintendo.com/games/detail/bit-boy-arcade-3ds/
Bit Dungeon Plus,8, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/bit-dungeon-plus-3ds/boxart,www.nintendo.com/games/detail/bit-dungeon-plus-3ds/
Bit.Trip Saga,14.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/bittrip-saga-3ds/boxart,www.nintendo.com/games/detail/bittrip-saga-3ds/
Blast 'Em Bunnies,4.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/blast-em-bunnies-3ds/boxart,www.nintendo.com/games/detail/blast-em-bunnies-3ds/
Blaster Master,4.99,NES,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/blaster-master-3ds/boxart,www.nintendo.com/games/detail/blaster-master-3ds/
Blaster Master Zero,9.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/blaster-master-zero-3ds/boxart,www.nintendo.com/games/detail/blaster-master-zero-3ds/
Blaster Master: Enemy Below,4.99,Game Boy Color,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/blaster-master-enemy-below-3ds/boxart,www.nintendo.com/games/detail/blaster-master-enemy-below-3ds/
Blasting Agent: Ultimate Edition,2.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/blasting-agent-ultimate-edition-3ds/boxart,www.nintendo.com/games/detail/blasting-agent-ultimate-edition-3ds/
BLAZBLUE -CLONEPHANTASMA-,5.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/blazblue-clonephantasma--3ds/boxart,www.nintendo.com/games/detail/blazblue-clonephantasma--3ds/
Block-a-Pix Color,7.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/block-a-pix-color-3ds/boxart,www.nintendo.com/games/detail/block-a-pix-color-3ds/
BLOK DROP CHAOS,1.49, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/blok-drop-chaos-3ds/boxart,www.nintendo.com/games/detail/blok-drop-chaos-3ds/
Bloo Kid 2,3.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/bloo-kid-2-3ds/boxart,www.nintendo.com/games/detail/bloo-kid-2-3ds/
Bloodstained: Curse of the Moon,9.99, ,https://assets.nintendo.com/image/upload/ncom/en_US/games/3ds/b/bloodstained-curse-of-the-moon-3ds/boxart,www.nintendo.com/games/detail/bloodstained-curse-of-the-moon-3ds/
